,Name,Point
0,양화진외국인선교사묘원,4.8
1,호림박물관 (신사분관),4.1
2,갤러리 학고재,4.5
3,송은(SONGEUN),3.0
4,김종영 미술관,4.5
5,경희대학교 한의학역사박물관,4.2
6,경복궁,4.6
7,창덕궁,4.6
8,전쟁기념관,4.6
9,국립중앙박물관,4.6
10,봉은사,4.5
11,명동성당,4.6
12,조계사,4.5
13,예술의 전당 한가람미술관,4.5
14,롯데월드타워,4.4
15,창경궁,4.6
16,리움 미술관,4.8
17,몽촌역사관,4.2
18,삼청동 골목길,4.2
19,서대문형무소역사관,4.6
20,별마당 도서관,4.6
21,서울역사박물관,4.4
22,국립현대미술관 서울관 갤러리아트존,4.6
23,국립현대미술관 서울관,4.6
24,서울 한양도성,4.6
25,경희대학교 중앙박물관,4.2
26,서울중앙성원,4.7
27,아라리오뮤지엄 인 스페이스,4.5
28,롯데월드 민속박물관,4.3
29,고려대학교 본관 및 구 중앙도서관,4.6
30,국립서울현충원,4.6
31,길상사,4.6
32,서대문자연사박물관,4.3
33,한국가구박물관,4.6
34,국립중앙박물관 어린이박물관,4.6
35,명동관광정보센터,4.3
36,대한성공회서울주교좌성당(서울성공회성당),4.6
37,서울도서관 (옛 서울시청사),4.5
38,청계천박물관,4.3
39,진관사,4.5
40,화계사,4.4
41,연세대학교 스팀슨관&언더우드관&아펜젤러관,4.6
42,가회민화박물관,4.8
43,국립국악원박물관,4.7
44,국립중앙도서관,4.5
45,갤러리 현대,4.5
46,금호미술관,4.2
47,헌인릉,4.3
48,뮤지엄김치간,4.1
49,한상수자수박물관,4.1
50,아라리오갤러리 서울,4.2
51,국제갤러리,4.3
52,종이나라박물관,3.6
53,북촌동양문화박물관,4.4
54,서울약령시 한의약박물관,4.3
55,토탈미술관,4.3
56,겸재정선미술관,4.1
57,남산서울타워,4.5
58,북촌한옥마을,4.3
59,동대문디자인플라자 (DDP),4.3
60,서초관광정보센터,5.0
61,덕수궁,4.5
62,종묘,4.5
63,광화문광장 야경,4.3
64,광화문광장,4.3
65,흥인지문(동대문),4.3
66,숭례문(남대문),4.7
67,63스퀘어,4.2
68,문화역서울 284,4.4
69,청와대,3.8
70,국립고궁박물관,4.5
71,선정릉(선릉),
72,운현궁,4.3
73,서울시립미술관 (서소문본관),4.6
74,서울광장,4.3
75,대한민국역사박물관,4.5
76,경희궁,4.4
77,한국은행화폐박물관,4.5
78,세빛섬,4.2
79,보신각(상설타종행사),4.2
80,국회의사당,4.0
81,국립현대미술관 덕수궁관,4.6
82,도산공원,4.4
83,정릉,4.5
84,안중근의사기념관,4.7
85,아름다운 차박물관,4.3
86,국립어린이민속박물관,4.4
87,환구단(원구단),4.2
